Time,iphone galaxy: (Worldwide),iphone htc: (Worldwide),iphone lg: (Worldwide),iphone pixel: (Worldwide),galaxy htc: (Worldwide),galaxy lg: (Worldwide),galaxy pixel: (Worldwide),htc lg: (Worldwide),htc pixel: (Worldwide),lg pixel: (Worldwide)
1,326,48,75,12,45,81,7,38,6,4
2,231,39,60,78,39,75,28,35,17,20
3,212,34,58,50,34,76,23,31,8,12
4,213,33,57,43,35,74,21,32,8,10
5,204,31,56,37,34,67,18,29,8,9
6,180,26,49,29,30,64,15,27,4,8
7,182,25,50,26,27,71,14,27,4,8
8,210,23,48,23,26,71,18,23,4,9
9,203,20,48,19,24,66,16,21,4,8
10,178,21,45,19,23,56,12,20,4,6
11,184,24,47,21,24,56,13,23,4,8
12,188,23,48,20,23,57,12,22,4,8
13,197,22,52,23,21,61,15,20,4,9
14,273,26,67,36,19,59,16,21,8,14
15,197,20,54,68,18,52,28,20,9,21
16,231,21,58,67,17,56,27,20,8,15
17,197,19,54,54,16,52,25,17,6,12
