,iphone galaxy,iphone htc,iphone lg,iphone pixel,galaxy htc,galaxy lg,galaxy pixel,htc lg,htc pixel,lg pixel
1,377,127,200,171,92,154,61,60,48,7
2,290,141,160,573,205,199,367,93,133,99
3,254,42,80,238,69,81,130,21,42,58
4,315,63,89,131,58,102,62,59,10,48
5,276,43,65,92,48,84,44,40,16,26
6,241,30,56,84,25,125,49,25,17,34
7,274,39,140,248,31,207,95,62,12,51
8,274,39,140,248,31,207,95,62,12,51
9,222,39,105,166,49,182,90,54,18,45
10,323,42,124,272,85,306,140,59,16,53
11,305,71,101,116,149,201,86,51,20,20
12,270,64,100,109,161,181,86,49,24,41
13,232,78,129,122,101,145,67,105,12,47
14,316,90,176,123,85,232,87,102,16,46
15,348,131,244,117,72,232,67,48,55,57
16,197,48,161,420,43,145,261,26,39,136
17,470,144,181,365,102,182,239,63,67,80
18,344,105,208,288,103,216,171,79,31,77
